docId,Date,top topics,Percentage it appears,,,,,,,,,,,,,,,,,,
1,1850,17,0.11,4,0.106,22,0.097,21,0.09,6,0.079,25,0.073,15,0.061,10,0.054,24,0.053,,
2,1852,20,0.112,4,0.108,18,0.086,9,0.085,24,0.08,22,0.073,3,0.07,1,0.063,11,0.062,23,0.061
3,1857.2,24,0.089,4,0.083,3,0.082,1,0.073,18,0.067,5,0.063,11,0.057,23,0.053,20,0.05,,
4,1857,20,0.198,4,0.157,24,0.131,22,0.112,3,0.099,21,0.059,18,0.052,,,,,,
,1850,4,0.106,,,,,,,,,,,,,,,,,,
,1852,4,0.108,,,,,,,,,,,,,,,,,,
,1857.2,4,0.083,,,,,,,,,,,,,,,,,,
,1857,4,0.157,,,,,,,,,,,,,,,,,,
,1850,22,0.097,,,,,,,,,,,,,,,,,,
,1852,18,0.086,,,,,,,,,,,,,,,,,,
,1857.2,3,0.082,,,,,,,,,,,,,,,,,,
,1857,24,0.131,,,,,,,,,,,,,,,,,,
,1850,21,0.09,,,,,,,,,,,,,,,,,,
,1852,9,0.085,,,,,,,,,,,,,,,,,,
,1857.2,1,0.073,,,,,,,,,,,,,,,,,,
,1857,22,0.112,,,,,,,,,,,,,,,,,,
,1850,6,0.079,,,,,,,,,,,,,,,,,,
,1852,24,0.08,,,,,,,,,,,,,,,,,,
,1857.2,18,0.067,,,,,,,,,,,,,,,,,,
,1857,3,0.099,,,,,,,,,,,,,,,,,,
,1850,25,0.073,,,,,,,,,,,,,,,,,,
,1852,22,0.073,,,,,,,,,,,,,,,,,,
,1857.2,5,0.063,,,,,,,,,,,,,,,,,,
,1857,21,0.059,,,,,,,,,,,,,,,,,,
,1850,15,0.061,,,,,,,,,,,,,,,,,,
,1852,3,0.07,,,,,,,,,,,,,,,,,,
,1857.2,11,0.057,,,,,,,,,,,,,,,,,,
,1857,18,0.052,,,,,,,,,,,,,,,,,,
